,USD,EUR,JPY,GBP,CNY,CAD,CHF
2001-01-24,9440.0,8831.12,8075.97,13844.7,,6255.38,5762.42
2001-01-25,9502.0,8772.25,8071.7,13827.31,,6283.56,5733.08
2001-01-26,9472.0,8754.02,8105.43,13843.33,,6289.51,5738.52
2001-01-29,9517.0,8794.66,8100.95,13901.48,,6327.79,5756.71
2001-01-30,9467.0,8682.19,8121.3,13809.51,,6305.87,5714.03
2001-01-31,9497.0,8804.67,8173.68,13888.41,,6317.86,5773.95
2001-02-01,9522.0,8956.39,8160.78,13946.87,,6355.63,5841.72
2001-02-02,9616.0,9028.46,8327.7,14197.06,,6439.86,5892.88
2001-02-05,9663.0,9077.42,8337.36,14207.51,,6457.07,5892.07
2001-02-06,9628.0,9027.21,8367.08,14180.12,,6392.67,5872.16
2001-02-07,9658.0,8972.28,8410.69,14080.4,,6396.87,5827.9
2001-02-08,9678.0,8987.96,8320.15,14072.78,,6417.35,5853.39
2001-02-09,9646.0,8861.78,8288.37,13938.47,,6392.31,5776.74
2001-02-12,9648.0,8947.56,8202.69,13974.16,,6385.6,5829.61
2001-02-13,9653.0,8976.32,8241.97,14022.91,,6345.65,5828.4
2001-02-14,9645.0,8882.08,8269.03,14014.19,,6339.56,5780.29
2001-02-15,9653.0,8868.21,8306.51,14062.49,,6321.55,5777.82
2001-02-16,9651.0,8748.63,8341.4,13992.02,,6290.57,5708.62
2001-02-19,9653.0,8828.63,8343.13,13987.2,,6279.6,5755.08
2001-02-20,9661.0,8906.48,8326.29,13986.23,,6300.79,5794.05
2001-02-21,9664.0,8795.21,8364.93,13970.28,,6278.59,5725.12
2001-02-22,9684.0,8786.29,8317.44,13974.98,,6298.95,5734.93
2001-02-23,9691.0,8767.45,8307.05,14032.57,,6299.81,5723.48
2001-02-26,9782.0,8977.92,8429.13,14242.59,,6366.83,5850.48
2001-02-27,9902.0,9020.72,8519.32,14307.4,,6482.49,5871.68
2001-02-28,9884.0,9063.63,8498.71,14252.73,,6466.89,5886.49
